ref,写法,读音,中文释义,原英文释义
lesson_n5:w001,---,ああ,啊（感叹、应答）,"Ah!, Oh!"
lesson_n5:w002,会う,あう,见面，会面,"to meet, to see"
lesson_n5:w003,青,あお,蓝色，青色,blue
lesson_n5:w004,青い,あおい,蓝色的,blue
lesson_n5:w005,赤,あか,红色,red
lesson_n5:w006,赤い,あかい,红色的,red
lesson_n5:w007,明るい,あかるい,明亮，开朗,bright (in reference to personality or weather); cheerful
lesson_n5:w008,秋,あき,秋天,fall (season)
lesson_n5:w009,開く,あく,开着，打开（自动词）,"to open, to become open"
lesson_n5:w010,開ける,あける,打开（他动词）,to open (v.t.)
lesson_n5:w011,上げる,あげる,举起，提高,"to raise, to lift"
lesson_n5:w012,朝,あさ,早上，早晨,morning
lesson_n5:w013,朝御飯,あさごはん,早饭,breakfast
lesson_n5:w014,明後日,あさって,后天,day after tomorrow
lesson_n5:w015,足,あし,脚，腿,foot; leg
lesson_n5:w016,明日,あした,明天,tomorrow
lesson_n5:w017,---,あそこ,那里，那边,"there, over there, that place"
lesson_n5:w018,遊ぶ,あそぶ,玩，玩耍,to play; to spend time pleasantly; to hang out
lesson_n5:w019,暖かい,あたたかい,暖和,warm
lesson_n5:w020,頭,あたま,头,head
lesson_n5:w021,新しい,あたらしい,新的,new
lesson_n5:w022,---,あちら,那边，那里（礼貌说法）,this way (polite)
lesson_n5:w023,暑い,あつい,热（天气热）,"hot (in reference to weather), warm"
lesson_n5:w024,熱い,あつい,烫（东西烫）,hot (objects)
lesson_n5:w025,厚い,あつい,厚，深厚,"kind, warm(hearted), thick, deep"
lesson_n5:w026,---,あっち,那边（口语）,over there
lesson_n5:w027,後,あと,之后，以后，其余,afterwards (later); in the future; the rest; since then
lesson_n5:w028,---,あなた,你,you
lesson_n5:w029,兄,あに,哥哥（指自己的）,(my) older brother (humble)
lesson_n5:w030,姉,あね,姐姐（指自己的）,(my) older sister (humble)
lesson_n5:w031,---,アパート,apartment，公寓,apartment (abbr.)
lesson_n5:w032,---,あの,那个；嗯…（迟疑）,"that over there; like that, that way; um..."
lesson_n5:w033,浴びる,あびる,冲澡，淋浴,"to bathe, to shower"
lesson_n5:w034,危ない,あぶない,危险,"dangerous, critical"
lesson_n5:w035,甘い,あまい,甜，甜蜜,"generous, sweet"
lesson_n5:w036,余り,あまり,不太…（后接否定）,not very; surplus
lesson_n5:w037,雨,あめ,雨,rain
lesson_n5:w038,飴,あめ,糖，糖果,(hard) candy
lesson_n5:w039,洗う,あらう,洗,to wash
lesson_n5:w040,在る,ある,在，位于（非生物）,"to be, to have"
lesson_n5:w041,有る,ある,有，拥有（非生物）,"to be, to have"
lesson_n5:w042,歩く,あるく,走，步行,to walk
lesson_n5:w043,---,あれ,那个（远处）,that one (over there)
lesson_n5:w044,---,いい,好，可以,good
lesson_n5:w045,---,いいえ,不，不是,"no, not at all"
lesson_n5:w046,言う,いう,说,to say
lesson_n5:w047,家,いえ,家，房子,"house, home"
lesson_n5:w048,---,いかが,如何，怎么样,"how, in what way"
lesson_n5:w049,行く,いく,去,to go
lesson_n5:w050,---,いくつ,几个，几岁,"how many, how old"
lesson_n5:w051,---,いくら,多少钱，多少,"how much, how many"
lesson_n5:w052,池,いけ,池塘,pond
lesson_n5:w053,医者,いしゃ,医生,doctor; physician
lesson_n5:w054,椅子,いす,椅子,chair
lesson_n5:w055,忙しい,いそがしい,忙,"busy (people, days)"
lesson_n5:w056,痛い,いたい,疼，痛,hurt; painful; sore
