lesson_id,word_id,kanji,hiragana,romaji,meaning,category
lesson_duolingo,w001,空港,くうこう,,机场,place
lesson_duolingo,w002,地下鉄,ちかてつ,,地铁,nature
lesson_duolingo,w003,傘,かさ,,雨伞,object
lesson_duolingo,w004,地図,ちず,,地图,object
lesson_duolingo,w011,赤い,あかい,,红色的,color
lesson_duolingo,w012,白い,しろい,,白色的,color
lesson_duolingo,w013,桜,さくら,,樱花,place
lesson_duolingo,w035,青い,あおい,,蓝色的、青色的,color
lesson_duolingo,w036,---,ケーキ,,蛋糕,food
lesson_duolingo,w037,---,ホテル,,酒店、旅馆,food
lesson_duolingo,w038,---,パスポート,,护照,object
lesson_duolingo,w039,帽子,ぼうし,,帽子,object
lesson_duolingo,w040,---,スマホ,,智能手机,object
lesson_duolingo,w041,切符,きっぷ,,车票、票,object
lesson_duolingo,w042,靴,くつ,,鞋子,object
lesson_duolingo,w044,手袋,てぶくろ,,手套,object
lesson_duolingo,w046,水,みず,,水,food
lesson_duolingo,w047,ご飯,ごはん,,米饭、饭,food
lesson_duolingo,w048,鞄,かばん,,包、书包,object
lesson_duolingo,w049,駅,えき,,车站,place
lesson_duolingo,w050,---,コート,,外套、大衣,clothing
lesson_duolingo,w057,年/都市,とし,,年、年龄；都市、城市,place
lesson_duolingo,w060,町,まち,,城镇、街道,place
lesson_duolingo,w062,バス停,ばすてい,,公交站,place
lesson_duolingo,w064,---,コンビニ,,便利店,place
lesson_duolingo,w065,---,デパート,,百货商场,place
lesson_duolingo,w066,お茶,おちゃ,,茶、茶叶,food
lesson_duolingo,w067,---,テレビ,,电视,object
lesson_duolingo,w068,---,えいが,,电影,object
lesson_duolingo,w074,本,ほん,,书,object
lesson_duolingo,w077,漫画,まんが,,漫画,object
lesson_duolingo,w079,---,アニメ,anime,动画,object
lesson_duolingo,w080,朝ご飯,あさごはん,,早饭,food
lesson_duolingo,w081,昼ご飯,ひるごはん,,午饭,food
lesson_duolingo,w082,晩ご飯,ばんごはん,,晚饭,food
lesson_duolingo,w083,---,パン,pan（来自葡萄牙语）,面包,food
lesson_duolingo,w084,---,サンドイッチ,sandoicchi,三明治,food
lesson_duolingo,w086,---,ハンバーガー,hābāgā,汉堡,food
lesson_duolingo,w088,---,ラーメン,ra—me-n,拉面,food
lesson_duolingo,w091,---,サラダ,sarada,沙拉,nature
lesson_duolingo,w092,---,コーヒー,kōhī（来自荷兰语）,咖啡,food
lesson_duolingo,w093,---,ジュース,jūsu,果汁,food
lesson_duolingo,w095,弁当,べんとう,,便当,food
lesson_duolingo,w100,夜ご飯,よるごはん,,晚饭,food
lesson_duolingo,w102,服,ふく,,衣服,object
lesson_duolingo,w105,---,カレー,karē,咖喱,food
lesson_duolingo,w106,---,Tシャツ,Tshatsu,T恤,clothing
lesson_duolingo,w107,---,スカート,sukāto,裙子,clothing
lesson_duolingo,w108,---,ネクタイ,nekutai（英文necktie）,领带,clothing
