写法,读音,释义,备注
---,ああ,"Ah!, Oh!",
会う,あう,"to meet, to see",
青,あお,blue,
青い,あおい,blue,
赤,あか,red,
赤い,あかい,red,
明るい,あかるい,bright (in reference to personality or weather); cheerful,
秋,あき,fall (season),
開く,あく,"to open, to become open",
開ける,あける,to open (v.t.),
上げる,あげる,"to raise, to lift",
朝,あさ,morning,
朝御飯,あさごはん,breakfast,
明後日,あさって,day after tomorrow,
足,あし,foot; leg,
明日,あした,tomorrow,
---,あそこ,"there, over there, that place",
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,
暖かい,あたたかい,warm,
頭,あたま,head,
新しい,あたらしい,new,
---,あちら,this way (polite),
暑い,あつい,"hot (in reference to weather), warm",
熱い,あつい,hot (objects),
厚い,あつい,"kind, warm(hearted), thick, deep",
---,あっち,over there,
後,あと,afterwards (later); in the future; the rest; since then,
---,あなた,you,
兄,あに,(my) older brother (humble),
姉,あね,(my) older sister (humble),
---,あぱーと,apartment (abbr.),
---,あの,"that over there; like that, that way; um...",
浴びる,あびる,"to bathe, to shower",
危ない,あぶない,"dangerous, critical",
甘い,あまい,"generous, sweet",
余り,あまり,not very; surplus,
雨,あめ,rain,
飴,あめ,(hard) candy,
洗う,あらう,to wash,
在る,ある,"to be, to have",
有る,ある,"to be, to have",
歩く,あるく,to walk,
---,あれ,that one (over there),
---,いい,good,
---,いいえ,"no, not at all",
言う,いう,to say,
家,いえ,"house, home",
---,いかが,"how, in what way",
行く,いく,to go,
---,いくつ,"how many, how old",
---,いくら,"how much, how many",
池,いけ,pond,
医者,いしゃ,doctor; physician,
椅子,いす,chair,
忙しい,いそがしい,"busy (people, days)",
痛い,いたい,hurt; painful; sore,
一,いち,one,
一日,いちにち,one day (duration),
一番,いちばん,"best (most), first, number one",
---,いつ,when,
五日,いつか,five days; fifth day of the month,
一緒,いっしょ,together,
五つ,いつつ,five things,
---,いつも,"always, usually, every time, never (with neg. verb)",
犬,いぬ,dog,
今,いま,now,
意味,いみ,"meaning, significance",
妹,いもうと,younger sister (humble),
嫌,いや,"disagreeable, detestable, unpleasant",
入口,いりぐち,entrance,
居る,いる,"(humble) to be (animate), to exist",
要る,いる,to need,
入れる,いれる,to put in,
色,いろ,color,
色々,いろいろ,various,
上,うえ,"above (up, top, etc.), over, on top of",
後ろ,うしろ,"back, behind, rear",
薄い,うすい,"thin, weak",
歌,うた,a song,
歌う,うたう,to sing,
---,うち,home; house; my place,
生まれる,うまれる,to be born,
海,うみ,"sea, beach",
売る,うる,to sell (v.t.),
---,うるさい,noisy; annoying,
上着,うわぎ,"coat, jacket",
絵,え,a painting; a picture; a drawing,
映画,えいが,"movie, film",
映画館,えいがかん,"movie theater, cinema",
英語,えいご,English (language),
---,ええ,yes,
駅,えき,station,
---,えれべーたー,elevator,
鉛筆,えんぴつ,pencil,
美味しい,おいしい,"delicious, tasty",
多い,おおい,many; there are a lot,
大きい,おおきい,"big, large",
大きな,おおきな,big,
大勢,おおぜい,great number of people,
お母さん,おかあさん,mother (formal),
お菓子,おかし,"confections, sweets, snack",
お金,おかね,money,
起きる,おきる,"to get up (e.g., from sleeping); to happen",
置く,おく,to put; to lay; to place,
奥さん,おくさん,(someone else's) wife (hon.),
お酒,おさけ,sake; alcohol,
お皿,おさら,"plate, dish",
伯父,おじさん,"uncle, middle-aged man",
---,おじいさん,"grandfather, male senior citizen",
教える,おしえる,"to teach, to inform, to instruct",
押す,おす,"to push, to press, to stamp (e.g., a passport)",
遅い,おそい,slow; (to be) late,
お茶,おちゃ,(green) tea,
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",
お父さん,おとうさん,father (formal),
弟,おとうと,younger brother,
男,おとこ,"man, male",
男の子,おとこのこ,boy,
一昨日,おととい,the day before yesterday,
---,おととし,year before last,
大人,おとな,adult,
お腹,おなか,stomach,
